run_id,variant,num_exits,tap_blocks_json,tau,temperatures_json,policy_test_acc,avg_exit_depth,exit_mix_json,expected_mflops,full_mflops,compute_saving_pct,ece_policy,n_mels,frames,num_classes,device,segment_sec,hop_sec,exit_e1,exit_e2,exit_e3,exit_e4,exit_e5
3exit_greedy_001,3exit_greedy,3,"[1, 3]",0.95,"[1.0420550107955933, 0.7606421709060669, 1.10463285446167]",0.9753846153846154,1.9815384615384615,"{""e1"": 0.3630769230769231, ""e2"": 0.2923076923076923, ""e3"": 0.3446153846153846}",23.861081796923074,51.628288,53.78293040256714,0.018621584177017224,64,101,2,cpu,1,0.5,0.3630769230769231,0.2923076923076923,0.3446153846153846,,
3exit_greedy_hint_001,3exit_greedy_hint,3,"[1, 3]",0.92,"[1.0246371030807495, 0.9720087051391602, 1.2185401916503906]",0.9907692307692307,1.8953846153846154,"{""e1"": 0.38461538461538464, ""e2"": 0.3353846153846154, ""e3"": 0.28}",21.359991532307692,51.628288,58.62734876603366,0.030522947036303018,64,101,2,cpu,1,0.5,0.38461538461538464,0.3353846153846154,0.28,,
5exit_greedy_001,5exit_greedy,5,"[1, 2, 3, 4]",0.95,"[1.2341337203979492, 1.1467100381851196, 0.5560668706893921, 0.8018736839294434, 0.7650884389877319]",0.9907692307692307,2.6369230769230767,"{""e1"": 0.3569230769230769, ""e2"": 0.03076923076923077, ""e3"": 0.35384615384615387, ""e4"": 0.13538461538461538, ""e5"": 0.12307692307692308}",17.940135975384614,51.628288,65.25134442694552,0.028352666451380817,64,101,2,cpu,1,0.5,0.3569230769230769,0.03076923076923077,0.35384615384615387,0.13538461538461538,0.12307692307692308
5exit_greedy_hint_001,5exit_greedy_hint,5,"[1, 2, 3, 4]",0.92,"[1.0982310771942139, 0.8997442722320557, 0.8018799424171448, 1.0007244348526, 1.0026189088821411]",0.9723076923076923,2.4646153846153847,"{""e1"": 0.3723076923076923, ""e2"": 0.13538461538461538, ""e3"": 0.2676923076923077, ""e4"": 0.10461538461538461, ""e5"": 0.12}",16.66406774153846,51.628288,67.72298988194522,0.03077943453421958,64,101,2,cpu,1,0.5,0.3723076923076923,0.13538461538461538,0.2676923076923077,0.10461538461538461,0.12
gs3_001,gs3,3,"[1, 3]",0.95,"[0.70683354139328, 0.7928332686424255, 1.5246267318725586]",0.9547803617571059,1.801033591731266,"{""e1"": 0.4069767441860465, ""e2"": 0.3850129198966408, ""e3"": 0.20801033591731266}",18.600588485788116,51.628288,63.97209900551396,0.009869488018735717,64,101,2,cpu,1,0.5,0.4069767441860465,0.3850129198966408,0.20801033591731266,,
gs3_h025_001,gs3_h025,3,"[1, 3]",0.95,"[0.721795916557312, 0.758929967880249, 0.9868131875991821]",0.9495798319327731,2.0598739495798317,"{""e1"": 0.18172268907563024, ""e2"": 0.5766806722689075, ""e3"": 0.2415966386554622}",23.451614588235298,51.628288,54.57603671027152,0.020307399676877863,64,101,2,cpu,1,0.25,0.18172268907563024,0.5766806722689075,0.2415966386554622,,
gs3_hint_001,gs3_hint,3,"[1, 3]",0.95,"[0.7469291090965271, 0.6156162023544312, 1.3613543510437012]",0.9534883720930233,1.810077519379845,"{""e1"": 0.38372093023255816, ""e2"": 0.42248062015503873, ""e3"": 0.1937984496124031}",18.51485792248062,51.628288,64.13815247470413,0.016769123169802887,64,101,2,cpu,1,0.5,0.38372093023255816,0.42248062015503873,0.1937984496124031,,
gs3_hint_h025_001,gs3_hint_h025,3,"[1, 3]",0.95,"[0.680705726146698, 0.6433660387992859, 1.0043795108795166]",0.9411764705882353,2.1313025210084033,"{""e1"": 0.11134453781512606, ""e2"": 0.6460084033613446, ""e3"": 0.2426470588235294}",24.653958722689076,51.628288,52.24718913265325,0.017576566012967546,64,101,2,cpu,1,0.25,0.11134453781512606,0.6460084033613446,0.2426470588235294,,
gs5_001,gs5,5,"[1, 2, 3, 4]",0.95,"[0.7334967851638794, 0.5786582231521606, 0.5443219542503357, 0.857897937297821, 1.0592970848083496]",0.958656330749354,2.264857881136951,"{""e1"": 0.375968992248062, ""e2"": 0.2467700258397933, ""e3"": 0.2131782945736434, ""e4"": 0.06459948320413436, ""e5"": 0.09948320413436693}",14.864163514211885,51.628288,71.20926513346349,0.01176134260125861,64,101,2,cpu,1,0.5,0.375968992248062,0.2467700258397933,0.2131782945736434,0.06459948320413436,0.09948320413436693
gs5_hint_001,gs5_hint,5,"[1, 2, 3, 4]",0.95,"[0.7183353304862976, 0.5512622594833374, 0.7902066707611084, 1.0868080854415894, 1.4007987976074219]",0.9560723514211886,2.2881136950904395,"{""e1"": 0.35400516795865633, ""e2"": 0.29457364341085274, ""e3"": 0.16925064599483206, ""e4"": 0.07364341085271318, ""e5"": 0.10852713178294573}",15.364258149870802,51.628288,70.24062051046356,0.011051375736561873,64,101,2,cpu,1,0.5,0.35400516795865633,0.29457364341085274,0.16925064599483206,0.07364341085271318,0.10852713178294573
kexit_greedy_gunshot_segment_001,kexit_greedy_gunshot_segment,5,"[1, 2, 3, 4]",0.92,"[0.5692267417907715, 0.5928218364715576, 0.7731572985649109, 1.0611878633499146, 1.2891111373901367]",0.6738738738738739,4.589189189189189,"{""e1"": 0.0, ""e2"": 0.06486486486486487, ""e3"": 0.07207207207207207, ""e4"": 0.07207207207207207, ""e5"": 0.790990990990991}",45.133156324324325,51.629312,12.582301456342615,0.060783720660854045,64,101,10,cpu,1,0.5,0.0,0.06486486486486487,0.07207207207207207,0.07207207207207207,0.790990990990991
