label,precision,recall,f1,support,predicted_positive
Brene_Brown,1.0,0.9726027397260274,0.9861111111111112,73,71
Eckhart_Tolle,1.0,1.0,1.0,84,84
Eric_Thomas,0.9411764705882353,0.9411764705882353,0.9411764705882353,68,68
Gary_Vee,1.0,1.0,1.0,68,68
Jay_Shetty,0.9574468085106383,1.0,0.9782608695652174,90,94
Nick_Vujicic,0.9607843137254902,1.0,0.98,49,51
other_speaker_present,0.9647577092511013,0.9521739130434783,0.9584245076586433,460,454
music_present,0.9615384615384616,0.9530791788856305,0.9572901325478645,341,338
audience_reaction_present,0.7857142857142857,0.3793103448275862,0.5116279069767442,29,14
silence_present,1.0,0.16666666666666666,0.2857142857142857,12,2
