exit,evaluation_role,label,aggregation,threshold,precision,recall,f1,support,predicted_positive,tp,fp,fn,tn
1,frozen_lats_v2_policy_transfer,Brene_Brown,p75,0.54,0.0,0.0,0.0,73,0,0,0,73,794
1,frozen_lats_v2_policy_transfer,Eckhart_Tolle,top3mean,0.5,0.9069767441860463,0.4642857142857143,0.6141732283464567,84,43,39,4,45,779
1,frozen_lats_v2_policy_transfer,Eric_Thomas,top4mean,0.62,0.0,0.0,0.0,68,0,0,0,68,799
1,frozen_lats_v2_policy_transfer,Gary_Vee,mean,0.5,0.0,0.0,0.0,68,0,0,0,68,799
1,frozen_lats_v2_policy_transfer,Jay_Shetty,p75,0.91,0.0,0.0,0.0,90,0,0,0,90,777
1,frozen_lats_v2_policy_transfer,Nick_Vujicic,p75,0.34,0.0,0.0,0.0,49,0,0,0,49,818
1,frozen_lats_v2_policy_transfer,other_speaker_present,noisy_or,0.94,0.9117647058823528,0.067391304347826,0.1255060728744939,460,34,31,3,429,404
1,frozen_lats_v2_policy_transfer,music_present,mean,0.37,0.6395604395604395,0.8533724340175953,0.7311557788944723,341,455,291,164,50,362
1,frozen_lats_v2_policy_transfer,audience_reaction_present,top3mean,0.23,0.0973451327433628,0.3793103448275862,0.1549295774647887,29,113,11,102,18,736
1,frozen_lats_v2_policy_transfer,silence_present,p75,0.42,0.0,0.0,0.0,12,0,0,0,12,855
2,frozen_lats_v2_policy_transfer,Brene_Brown,p75,0.54,0.7922077922077922,0.8356164383561644,0.8133333333333332,73,77,61,16,12,778
2,frozen_lats_v2_policy_transfer,Eckhart_Tolle,top3mean,0.5,0.9882352941176472,1.0,0.9940828402366864,84,85,84,1,0,782
2,frozen_lats_v2_policy_transfer,Eric_Thomas,top4mean,0.62,0.6779661016949152,0.5882352941176471,0.6299212598425196,68,59,40,19,28,780
2,frozen_lats_v2_policy_transfer,Gary_Vee,mean,0.5,1.0,0.5882352941176471,0.7407407407407407,68,40,40,0,28,799
2,frozen_lats_v2_policy_transfer,Jay_Shetty,p75,0.91,0.9743589743589745,0.8444444444444444,0.9047619047619048,90,78,76,2,14,775
2,frozen_lats_v2_policy_transfer,Nick_Vujicic,p75,0.34,0.589041095890411,0.8775510204081632,0.7049180327868853,49,73,43,30,6,788
2,frozen_lats_v2_policy_transfer,other_speaker_present,noisy_or,0.94,0.8042328042328042,0.6608695652173913,0.7255369928400954,460,378,304,74,156,333
2,frozen_lats_v2_policy_transfer,music_present,mean,0.37,0.8567567567567568,0.9296187683284456,0.8917018284106892,341,370,317,53,24,473
2,frozen_lats_v2_policy_transfer,audience_reaction_present,top3mean,0.23,0.173469387755102,0.5862068965517241,0.2677165354330709,29,98,17,81,12,757
2,frozen_lats_v2_policy_transfer,silence_present,p75,0.42,0.5,0.1666666666666666,0.25,12,4,2,2,10,853
3,frozen_lats_v2_policy_transfer,Brene_Brown,p75,0.54,1.0,0.9726027397260274,0.9861111111111112,73,71,71,0,2,794
3,frozen_lats_v2_policy_transfer,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,84,84,84,0,0,783
3,frozen_lats_v2_policy_transfer,Eric_Thomas,top4mean,0.62,0.9285714285714286,0.9558823529411764,0.9420289855072465,68,70,65,5,3,794
3,frozen_lats_v2_policy_transfer,Gary_Vee,mean,0.5,1.0,1.0,1.0,68,68,68,0,0,799
3,frozen_lats_v2_policy_transfer,Jay_Shetty,p75,0.91,0.9574468085106383,1.0,0.9782608695652174,90,94,90,4,0,773
3,frozen_lats_v2_policy_transfer,Nick_Vujicic,p75,0.34,0.9607843137254902,1.0,0.98,49,51,49,2,0,816
3,frozen_lats_v2_policy_transfer,other_speaker_present,noisy_or,0.94,0.9586956521739132,0.9586956521739132,0.9586956521739132,460,460,441,19,19,388
3,frozen_lats_v2_policy_transfer,music_present,mean,0.37,0.9615384615384616,0.9530791788856304,0.9572901325478644,341,338,325,13,16,513
3,frozen_lats_v2_policy_transfer,audience_reaction_present,top3mean,0.23,0.5555555555555556,0.5172413793103449,0.5357142857142857,29,27,15,12,14,826
3,frozen_lats_v2_policy_transfer,silence_present,p75,0.42,1.0,0.1666666666666666,0.2857142857142857,12,2,2,0,10,855
