method,version,decision_unit,stop_rate,average_exit_depth,estimated_flops_saved_pct,parent_macro_f1,parent_micro_f1,parent_samples_f1,parent_exact_match,parent_hamming_loss,status
always_exit3,baseline,none,0.000000,3.000000,0.000000,0.8623815322,0.9531311540,0.9588894381,0.8765859285,0.0137254902,canonical_full_depth_reference
label_aware_risk,v0.12,segment,0.111880,2.888120,7.189681,0.8437030632,0.9366889501,0.9446916021,0.8408304498,0.0185697809,feasibility_quality_loss
global_conf_margin,v0.13,segment,0.011765,2.988235,0.756028,0.8614330000,0.9527190000,0.9585050000,0.8754330000,0.0138410000,conservative_rule
global_conf_margin_delta,v0.13,segment,0.024221,2.975779,1.556529,0.8585560000,0.9508450000,0.9567360000,0.8696660000,0.0144180000,rule_ablation
label_risk,v0.13,segment,0.024221,2.975779,1.556529,0.8585560000,0.9508450000,0.9567360000,0.8696660000,0.0144180000,risk_non_binding
per_label_margin,v0.13,segment,0.022376,2.977624,1.437936,0.8587480000,0.9515560000,0.9571980000,0.8742790000,0.0141870000,current_adaptive_recommendation
logistic_gate,v0.13,segment,0.175779,2.824221,11.295953,0.8330340000,0.9435290000,0.9497500000,0.8558250000,0.0166090000,aggressive_unsafe_tradeoff
parent_gate_exit2_to_exit3,v0.14,segment,0.202999,2.797001,13.045195,0.8407980000,0.9339660000,0.9424730000,0.8350630000,0.0192620000,robust_validation_failed
parent_gate_exit1_to_exit3,v0.14,segment,0.007151,2.985698,0.689320,0.8614420000,0.9527560000,0.9586970000,0.8765860000,0.0138410000,quality_preserved_negligible_saving
nonparametric_parent_risk,v0.15,parent,0.006920,2.993080,0.444723,0.8631290000,0.9526810000,0.9585050000,0.8754330000,0.0138410000,not_deployment_eligible
shared_logistic_parent_gate,v0.15,parent,0.000000,3.000000,0.000000,0.8623820000,0.9531310000,0.9588890000,0.8765860000,0.0137250000,no_stops_not_deployment_eligible
