generation,unique_candidates,feasible_population,best_feasible_flops_saved_pct,minimum_constraint_violation
0,80,32,8.088258681702731,0.0
1,160,80,9.112088894576498,0.0
2,240,80,9.521620979725986,0.0
3,320,80,9.828770043588131,0.0
4,400,80,10.272429802500083,0.0
5,480,80,10.374812823787472,0.0
6,560,80,10.374812823787472,0.0
7,640,80,10.579578866362205,0.0
8,720,80,10.681961887649594,0.0
9,800,80,10.88672793022435,0.0
10,879,80,10.88672793022435,0.0
11,959,80,10.88672793022435,0.0
12,1039,80,10.88672793022435,0.0
13,1119,80,11.091493972799105,0.0
14,1199,80,11.125621646561568,0.0
15,1279,80,11.15974932032402,0.0
16,1359,80,11.330387689136302,0.0
17,1439,80,11.330387689136302,0.0
18,1519,80,11.603409079235993,0.0
19,1599,80,11.603409079235993,0.0
20,1679,80,11.603409079235993,0.0
21,1759,80,11.603409079235993,0.0
22,1839,80,11.603409079235993,0.0
23,1919,80,11.637536752998423,0.0
24,1999,80,11.8423027955732,0.0
25,2079,80,11.910558143098115,0.0
26,2159,80,11.944685816860567,0.0
27,2239,80,11.944685816860567,0.0
28,2319,80,12.047068838147934,0.0
29,2399,80,12.047068838147934,0.0
30,2479,80,12.115324185672872,0.0
31,2559,80,12.183579533197786,0.0
32,2639,80,12.183579533197786,0.0
33,2719,80,12.183579533197786,0.0
34,2799,80,12.25183488072269,0.0
35,2879,80,12.320090228247626,0.0
36,2959,80,12.388345575772542,0.0
37,3039,80,12.388345575772542,0.0
38,3119,80,12.422473249534994,0.0
39,3199,80,12.456600923297446,0.0
40,3279,80,12.456600923297446,0.0
41,3359,80,12.490728597059919,0.0
42,3439,80,12.490728597059919,0.0
43,3519,80,12.490728597059919,0.0
44,3598,80,12.52485627082236,0.0
45,3678,80,12.52485627082236,0.0
46,3758,80,12.52485627082236,0.0
47,3838,80,12.558983944584812,0.0
48,3918,80,12.558983944584812,0.0
49,3998,80,12.62723929210975,0.0
