architecture,generation,unique_candidates,feasible_population,best_feasible_flops_saved_pct,minimum_constraint_violation
3exit,0,96,10,7.320386,0.0
3exit,5,575,96,10.818473,0.0
3exit,10,1054,96,12.610175,0.0
3exit,15,1533,96,13.002644,0.0
3exit,20,2013,96,13.872899,0.0
3exit,25,2492,96,14.248304,0.0
3exit,30,2972,96,14.794347,0.0
3exit,35,3452,96,15.016176,0.0
3exit,40,3931,96,15.272134,0.0
3exit,45,4410,96,15.374517,0.0
3exit,50,4889,96,15.425709,0.0
3exit,55,5369,96,15.425709,0.0
3exit,59,5751,96,15.425709,0.0
5exit,0,96,6,17.814620,0.0
5exit,5,576,96,19.475508,0.0
5exit,10,1056,96,23.331929,0.0
5exit,15,1536,96,24.571901,0.0
5exit,20,2016,96,27.842463,0.0
5exit,25,2496,96,28.297495,0.0
5exit,30,2976,96,29.116563,0.0
5exit,35,3456,96,29.116563,0.0
5exit,40,3936,96,29.537469,0.0
5exit,45,4416,96,30.038006,0.0
5exit,50,4896,96,30.038006,0.0
5exit,55,5376,96,30.345157,0.0
5exit,59,5760,96,31.522558,0.0
