architecture,selected_policy,candidate_id,total_early_fraction,exit1_fraction,average_exit_depth,estimated_flops_saved_pct,parent_macro_f1,parent_micro_f1,parent_exact_match,parent_hamming_loss,robust_macro_drop,robust_micro_drop,robust_exact_drop,robust_hamming_increase,quality_constraints_met
3exit,false,4894,0.177377,0.056824,2.765799,13.224474,0.902617,0.890063,0.713816,0.034211,0.000000,0.000000,0.000000,0.000000,true
3exit,true,5221,0.186936,0.061073,2.751992,13.975282,0.904909,0.893122,0.720395,0.033224,-0.000370,-0.001006,0.000048,-0.000325,true
3exit,false,5691,0.186405,0.064790,2.748805,14.060602,0.903549,0.890063,0.713816,0.034211,0.000498,0.000000,0.000000,0.000000,true
3exit,false,5770,0.191184,0.065852,2.742963,14.401878,0.904125,0.891235,0.713816,0.033882,0.000048,0.000761,0.000000,0.000215,true
3exit,false,4732,0.188529,0.077536,2.733935,14.606644,0.902784,0.889124,0.713816,0.034539,0.002036,0.002341,0.000000,0.000867,true
3exit,false,5229,0.194902,0.084440,2.720659,15.238006,0.902969,0.889357,0.713816,0.034539,0.002231,0.003864,0.000000,0.001339,true
3exit,false,5842,0.195964,0.091875,2.712161,15.545155,0.900893,0.890063,0.717105,0.034211,0.008865,0.004682,0.002115,0.001476,true
5exit,false,4955,0.356877,0.043016,4.310143,21.466279,0.863535,0.849429,0.592105,0.047697,-0.007947,-0.008819,-0.024176,-0.003193,true
5exit,false,4366,0.395645,0.054700,4.197557,24.412636,0.863002,0.849741,0.588816,0.047697,-0.007880,-0.009002,-0.019733,-0.003193,true
5exit,false,5420,0.402549,0.071694,4.147106,25.493346,0.861777,0.849116,0.592105,0.047697,-0.005583,-0.008574,-0.024176,-0.003193,true
5exit,false,3932,0.407329,0.093999,4.085502,26.716257,0.859077,0.847352,0.588816,0.048355,-0.003189,-0.007171,-0.019658,-0.002599,true
5exit,false,5351,0.434944,0.094530,4.058417,27.870904,0.859563,0.847352,0.592105,0.048355,-0.005425,-0.007334,-0.019502,-0.002599,true
5exit,false,5314,0.450345,0.086033,4.048858,28.405569,0.856803,0.845596,0.585526,0.049013,-0.001299,-0.003466,-0.016436,-0.001154,true
5exit,false,4689,0.458842,0.087095,4.029209,28.991427,0.855953,0.843847,0.585526,0.049671,0.000577,-0.003312,-0.016436,-0.001220,true
5exit,false,5848,0.469464,0.100372,4.023898,29.361136,0.855292,0.843847,0.578947,0.049671,0.000309,-0.001547,-0.001677,-0.000279,true
5exit,true,5845,0.460967,0.105151,4.011152,29.389580,0.855746,0.842975,0.578947,0.050000,-0.000048,-0.001178,-0.007920,-0.000176,true
5exit,false,5471,0.462560,0.110993,3.986192,29.867369,0.854341,0.842650,0.582237,0.050000,0.001303,-0.000079,-0.006524,0.000189,true
5exit,false,5755,0.496548,0.107276,3.946893,31.522558,0.850323,0.837642,0.572368,0.051645,0.005503,0.004487,0.003878,0.001654,true
