method,flops_saved_pct,parent_macro_f1,parent_micro_f1,parent_samples_f1,parent_exact_match,parent_hamming_loss
Always Exit 3,0.00,0.862382,0.953131,0.958889,0.876586,0.013725
v0.13 per-label margin,1.44,0.858748,0.951556,0.957198,0.874279,0.014187
v0.13 logistic gate,11.30,0.833034,0.943529,0.949750,0.855825,0.016609
v0.14 Exit 1-3 ablation,0.69,0.861442,0.952756,0.958697,0.876586,0.013841
v0.14 Exit 2-3 gate,13.05,0.840798,0.933966,0.942473,0.835063,0.019262
v0.15 nonparametric parent risk,0.44,0.863129,0.952681,0.958505,0.875433,0.013841
v0.15 shared logistic parent gate,0.00,0.862382,0.953131,0.958889,0.876586,0.013725
v0.16 multi-objective margin,5.06,0.849203,0.942474,0.950266,0.854671,0.016840
v0.17 sequential anytime 3-exit,8.64,0.840128,0.937549,0.945653,0.840830,0.018224
v0.18 strict sequential 3-exit,3.82,0.85285,0.94530,,0.86159,0.01603
