architecture,method,estimated_flops_saved_pct,measured_speedup_vs_always_final,parent_macro_f1,parent_micro_f1,parent_samples_f1,parent_exact_match,parent_hamming_loss
3-exit,full_strict,3.817202,1.017832,0.852849,0.945297,0.952277,0.861592,0.016032
3-exit,no_exit1,3.602253,1.006880,0.854263,0.946042,0.952853,0.863899,0.015802
3-exit,no_risk_veto,4.543582,1.023823,0.847958,0.942981,0.950288,0.855825,0.016724
3-exit,no_stability,12.326227,1.043906,0.846395,0.941315,0.947778,0.854671,0.017186
3-exit,no_label_margins,11.970449,1.059333,0.825964,0.923197,0.933322,0.807382,0.022607
3-exit,confidence_only,67.575593,1.399405,0.574954,0.729642,0.754660,0.441753,0.076586
5-exit,full_strict,12.704241,1.057318,0.798133,0.898325,0.913665,0.757785,0.030104
5-exit,no_exit1,9.176109,1.036630,0.810153,0.903750,0.918894,0.771626,0.028720
5-exit,no_risk_veto,22.777176,1.103423,0.781188,0.887751,0.901794,0.734717,0.032872
5-exit,no_stability,16.899457,1.072312,0.797829,0.897386,0.912590,0.756632,0.030334
5-exit,no_label_margins,38.507989,1.180112,0.727210,0.838937,0.858716,0.620531,0.047520
5-exit,confidence_only,75.291529,1.538117,0.454768,0.666667,0.699117,0.355248,0.094694
