label,aggregation,threshold,precision,recall,f1,support,predicted_positive,tp,fp,fn,tn,hamming_errors
Brene_Brown,top3mean,0.5,0.9863013698630136,0.9863013698630136,0.9863013698630136,73,73,72,1,1,793,2
Eckhart_Tolle,top2mean,0.5,1.0,0.9880952380952381,0.9940119760479043,84,83,83,0,1,783,1
Eric_Thomas,mean,0.54,0.9795918367346939,0.7058823529411765,0.8205128205128206,68,49,48,1,20,798,21
Gary_Vee,top3mean,0.5,0.9577464788732394,1.0,0.9784172661870503,68,71,68,3,0,796,3
Jay_Shetty,mean,0.82,0.9767441860465116,0.9333333333333333,0.9545454545454545,90,86,84,2,6,775,8
Nick_Vujicic,mean,0.43,1.0,0.8775510204081632,0.9347826086956522,49,43,43,0,6,818,6
other_speaker_present,top3mean,0.76,0.9785714285714285,0.8934782608695652,0.9340909090909091,460,420,411,9,49,398,58
music_present,mean,0.49,0.9748427672955975,0.9090909090909091,0.9408194233687405,341,318,310,8,31,518,39
audience_reaction_present,max,0.68,0.30952380952380953,0.4482758620689655,0.3661971830985915,29,42,13,29,16,809,45
silence_present,p75,0.34,0.2,0.4166666666666667,0.2702702702702703,12,25,5,20,7,835,27
