label,aggregation,threshold,precision,recall,f1,support,predicted_positive,tp,fp,fn,tn,hamming_errors
Brene_Brown,top4mean,0.46,1.0,0.9863013698630136,0.993103448275862,73,72,72,0,1,794,1
Eckhart_Tolle,p90,0.5,1.0,1.0,1.0,84,84,84,0,0,783,0
Eric_Thomas,top4mean,0.32,0.9420289855072463,0.9558823529411765,0.9489051094890512,68,69,65,4,3,795,7
Gary_Vee,mean,0.5,1.0,1.0,1.0,68,68,68,0,0,799,0
Jay_Shetty,p75,0.92,0.967032967032967,0.9777777777777777,0.9723756906077348,90,91,88,3,2,774,5
Nick_Vujicic,top3mean,0.45,0.9791666666666666,0.9591836734693877,0.9690721649484536,49,48,47,1,2,817,3
other_speaker_present,mean,0.53,0.9720930232558139,0.908695652173913,0.9393258426966291,460,430,418,12,42,395,54
music_present,noisy_or,0.93,0.9454022988505747,0.9648093841642229,0.9550072568940494,341,348,329,19,12,507,31
audience_reaction_present,p90,0.63,0.52,0.4482758620689655,0.48148148148148145,29,25,13,12,16,826,28
silence_present,p75,0.52,0.75,0.25,0.375,12,4,3,1,9,854,10
