label,aggregation,threshold,precision,recall,f1,fp,fn,hamming_errors
Brene_Brown,top4mean,0.46,1.0,0.9863013698630136,0.993103448275862,0,1,1
Eckhart_Tolle,p90,0.5,1.0,1.0,1.0,0,0,0
Eric_Thomas,top4mean,0.32,0.9420289855072463,0.9558823529411765,0.9489051094890512,4,3,7
Gary_Vee,mean,0.5,1.0,1.0,1.0,0,0,0
Jay_Shetty,p75,0.92,0.967032967032967,0.9777777777777777,0.9723756906077348,3,2,5
Nick_Vujicic,top3mean,0.45,0.9791666666666666,0.9591836734693877,0.9690721649484536,1,2,3
other_speaker_present,mean,0.53,0.9720930232558139,0.908695652173913,0.9393258426966291,12,42,54
music_present,noisy_or,0.93,0.9454022988505747,0.9648093841642229,0.9550072568940494,19,12,31
audience_reaction_present,p90,0.63,0.52,0.4482758620689655,0.48148148148148145,12,16,28
silence_present,p75,0.52,0.75,0.25,0.375,1,9,10
