label,aggregation,threshold,precision,recall,f1,support,predicted_positive,tp,fp,fn,tn,hamming_errors
Brene_Brown,top3mean,0.5,0.9861111111111112,0.9726027397260274,0.9793103448275863,73,72,71,1,2,793,3
Eckhart_Tolle,top2mean,0.5,0.9767441860465116,1.0,0.988235294117647,84,86,84,2,0,781,2
Eric_Thomas,mean,0.54,0.9411764705882353,0.9411764705882353,0.9411764705882353,68,68,64,4,4,795,8
Gary_Vee,top3mean,0.5,0.9714285714285714,1.0,0.9855072463768115,68,70,68,2,0,797,2
Jay_Shetty,mean,0.82,0.9662921348314607,0.9555555555555556,0.9608938547486034,90,89,86,3,4,774,7
Nick_Vujicic,mean,0.43,1.0,0.8979591836734694,0.9462365591397849,49,44,44,0,5,818,5
other_speaker_present,top3mean,0.76,0.9921671018276762,0.8260869565217391,0.9015421115065243,460,383,380,3,80,404,83
music_present,mean,0.49,0.9695121951219512,0.9325513196480938,0.9506726457399104,341,328,318,10,23,516,33
audience_reaction_present,max,0.68,0.6470588235294118,0.3793103448275862,0.4782608695652174,29,17,11,6,18,832,24
silence_present,p75,0.34,0.3076923076923077,0.3333333333333333,0.32,12,13,4,9,8,846,17
