seed,label,aggregation,threshold,cal_precision,cal_recall,cal_f1,cal_tp,cal_fp,cal_fn,cal_tn,cal_support,cal_predicted_positive,cal_hamming_errors
0,Brene_Brown,p90,0.54,1.0,1.0,1.0,35,0,0,399,35,35,0
0,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,52,0,0,382,52,52,0
0,Eric_Thomas,mean,0.62,1.0,0.9428571428571428,0.9705882352941176,33,0,2,399,35,33,2
0,Gary_Vee,top2mean,0.5,1.0,1.0,1.0,27,0,0,407,27,27,0
0,Jay_Shetty,top2mean,0.87,1.0,1.0,1.0,47,0,0,387,47,47,0
0,Nick_Vujicic,top2mean,0.57,1.0,1.0,1.0,16,0,0,418,16,16,0
0,other_speaker_present,top3mean,0.77,0.9190283400809717,0.9578059071729957,0.9380165289256198,227,20,10,177,237,247,30
0,music_present,top3mean,0.41,0.9615384615384616,0.9493670886075949,0.9554140127388535,150,6,8,270,158,156,14
0,audience_reaction_present,mean,0.21,0.4444444444444444,0.6153846153846154,0.5161290322580646,8,10,5,411,13,18,15
0,silence_present,top2mean,0.53,0.75,0.5,0.6,3,1,3,427,6,4,4
1,Brene_Brown,max,0.71,0.9736842105263158,1.0,0.9866666666666666,37,1,0,396,37,38,1
1,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,46,0,0,388,46,46,0
1,Eric_Thomas,mean,0.68,1.0,0.9117647058823529,0.9538461538461539,31,0,3,400,34,31,3
1,Gary_Vee,top2mean,0.5,1.0,1.0,1.0,32,0,0,402,32,32,0
1,Jay_Shetty,top2mean,0.87,1.0,1.0,1.0,39,0,0,395,39,39,0
1,Nick_Vujicic,mean,0.43,1.0,1.0,1.0,26,0,0,408,26,26,0
1,other_speaker_present,top3mean,0.78,0.9125,0.9319148936170213,0.9221052631578948,219,21,16,178,235,240,37
1,music_present,p90,0.58,0.9876543209876543,0.9523809523809523,0.9696969696969696,160,2,8,264,168,162,10
1,audience_reaction_present,p75,0.4,0.75,0.6,0.6666666666666665,6,2,4,422,10,8,6
1,silence_present,top2mean,0.5,1.0,0.14285714285714285,0.25,1,0,6,427,7,1,6
2,Brene_Brown,mean,0.5,1.0,1.0,1.0,37,0,0,397,37,37,0
2,Eckhart_Tolle,top2mean,0.5,1.0,1.0,1.0,40,0,0,394,40,40,0
2,Eric_Thomas,top2mean,0.92,0.9393939393939394,0.9393939393939394,0.9393939393939394,31,2,2,399,33,33,4
2,Gary_Vee,top2mean,0.5,1.0,1.0,1.0,36,0,0,398,36,36,0
2,Jay_Shetty,p75,0.79,1.0,1.0,1.0,47,0,0,387,47,47,0
2,Nick_Vujicic,mean,0.43,1.0,1.0,1.0,21,0,0,413,21,21,0
2,other_speaker_present,mean,0.67,0.9508928571428571,0.9102564102564102,0.9301310043668123,213,11,21,189,234,224,32
2,music_present,p75,0.32,0.9542857142857143,0.943502824858757,0.9488636363636364,167,8,10,249,177,175,18
2,audience_reaction_present,mean,0.22,0.7,0.5384615384615384,0.608695652173913,7,3,6,418,13,10,9
2,silence_present,top2mean,0.5,0.6666666666666666,0.4,0.5,2,1,3,428,5,3,4
3,Brene_Brown,max,0.71,0.9736842105263158,1.0,0.9866666666666666,37,1,0,396,37,38,1
3,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,39,0,0,395,39,39,0
3,Eric_Thomas,top3mean,0.89,1.0,0.8947368421052632,0.9444444444444444,34,0,4,396,38,34,4
3,Gary_Vee,top2mean,0.5,1.0,1.0,1.0,32,0,0,402,32,32,0
3,Jay_Shetty,p75,0.79,0.98,1.0,0.98989898989899,49,1,0,384,49,50,1
3,Nick_Vujicic,mean,0.49,1.0,0.9583333333333334,0.9787234042553191,23,0,1,410,24,23,1
3,other_speaker_present,mean,0.57,0.8975409836065574,0.948051948051948,0.9221052631578948,219,25,12,178,231,244,37
3,music_present,mean,0.34,0.9880239520958084,0.9375,0.9620991253644314,165,2,11,256,176,167,13
3,audience_reaction_present,mean,0.16,0.38461538461538464,0.625,0.4761904761904762,10,16,6,402,16,26,22
3,silence_present,top3mean,0.5,1.0,0.25,0.4,1,0,3,430,4,1,3
4,Brene_Brown,mean,0.5,1.0,1.0,1.0,33,0,0,401,33,33,0
4,Eckhart_Tolle,top2mean,0.5,1.0,1.0,1.0,48,0,0,386,48,48,0
4,Eric_Thomas,top2mean,0.92,0.9666666666666667,0.8787878787878788,0.9206349206349207,29,1,4,400,33,30,5
4,Gary_Vee,top2mean,0.5,1.0,1.0,1.0,34,0,0,400,34,34,0
4,Jay_Shetty,mean,0.5,0.9807692307692307,1.0,0.9902912621359222,51,1,0,382,51,52,1
4,Nick_Vujicic,mean,0.5,1.0,1.0,1.0,22,0,0,412,22,22,0
4,other_speaker_present,top3mean,0.78,0.9134199134199135,0.9336283185840708,0.9234135667396062,211,20,15,188,226,231,35
4,music_present,p75,0.32,0.9644970414201184,0.9314285714285714,0.9476744186046512,163,6,12,253,175,169,18
4,audience_reaction_present,p90,0.51,0.5384615384615384,0.4666666666666667,0.5,7,6,8,413,15,13,14
4,silence_present,top2mean,0.53,1.0,0.3,0.4615384615384615,3,0,7,424,10,3,7
5,Brene_Brown,max,0.81,1.0,1.0,1.0,40,0,0,394,40,40,0
5,Eckhart_Tolle,top3mean,0.5,1.0,1.0,1.0,45,0,0,389,45,45,0
5,Eric_Thomas,mean,0.58,0.9714285714285714,0.8947368421052632,0.9315068493150684,34,1,4,395,38,35,5
5,Gary_Vee,top2mean,0.5,1.0,1.0,1.0,34,0,0,400,34,34,0
5,Jay_Shetty,top3mean,0.77,1.0,1.0,1.0,37,0,0,397,37,37,0
5,Nick_Vujicic,mean,0.44,1.0,1.0,1.0,27,0,0,407,27,27,0
5,other_speaker_present,mean,0.66,0.920704845814978,0.9247787610619469,0.922737306843267,209,18,17,190,226,227,35
5,music_present,top2mean,0.44,0.9515151515151515,0.9457831325301205,0.9486404833836858,157,8,9,260,166,165,17
5,audience_reaction_present,mean,0.21,0.6,0.6428571428571429,0.6206896551724138,9,6,5,414,14,15,11
5,silence_present,top2mean,0.5,0.75,0.3333333333333333,0.46153846153846156,3,1,6,424,9,4,7
