label,aggregation,selection_count,selection_fraction,threshold_mean_when_selected,threshold_median_when_selected,threshold_std_when_selected,cal_f1_mean_when_selected
Brene_Brown,mean,2,0.1,0.5,0.5,0.0,1.0
Brene_Brown,max,0,0.0,,,,
Brene_Brown,top2mean,0,0.0,,,,
Brene_Brown,top3mean,7,0.35,0.5085714285714286,0.5,0.010690449676496985,1.0
Brene_Brown,p75,11,0.55,0.5,0.5,0.0,0.9927817392796295
Brene_Brown,p90,0,0.0,,,,
Eckhart_Tolle,mean,20,1.0,0.5,0.5,0.0,1.0
Eckhart_Tolle,max,0,0.0,,,,
Eckhart_Tolle,top2mean,0,0.0,,,,
Eckhart_Tolle,top3mean,0,0.0,,,,
Eckhart_Tolle,p75,0,0.0,,,,
Eckhart_Tolle,p90,0,0.0,,,,
Eric_Thomas,mean,15,0.75,0.4933333333333333,0.5,0.023804761428476186,0.9319836199344456
Eric_Thomas,max,0,0.0,,,,
Eric_Thomas,top2mean,0,0.0,,,,
Eric_Thomas,top3mean,5,0.25,0.622,0.63,0.017888543819998333,0.929425272639761
Eric_Thomas,p75,0,0.0,,,,
Eric_Thomas,p90,0,0.0,,,,
Gary_Vee,mean,6,0.3,0.5,0.5,0.0,1.0
Gary_Vee,max,0,0.0,,,,
Gary_Vee,top2mean,0,0.0,,,,
Gary_Vee,top3mean,14,0.7,0.52,0.51,0.018397324220156015,1.0
Gary_Vee,p75,0,0.0,,,,
Gary_Vee,p90,0,0.0,,,,
Jay_Shetty,mean,5,0.25,0.5,0.5,0.0,0.9782229398506475
Jay_Shetty,max,1,0.05,0.94,0.94,0.0,0.9647058823529412
Jay_Shetty,top2mean,1,0.05,0.95,0.95,0.0,0.9902912621359222
Jay_Shetty,top3mean,6,0.3,0.665,0.55,0.18041618552668712,0.9808885438233265
Jay_Shetty,p75,7,0.35,0.9500000000000001,0.95,1.199177923332954e-16,0.9816005114041939
Jay_Shetty,p90,0,0.0,,,,
Nick_Vujicic,mean,2,0.1,0.46499999999999997,0.46499999999999997,0.04949747468305833,1.0
Nick_Vujicic,max,0,0.0,,,,
Nick_Vujicic,top2mean,1,0.05,0.72,0.72,0.0,0.9787234042553191
Nick_Vujicic,top3mean,1,0.05,0.5,0.5,0.0,1.0
Nick_Vujicic,p75,16,0.8,0.45,0.39,0.10184956226382777,0.9794784340297129
Nick_Vujicic,p90,0,0.0,,,,
other_speaker_present,mean,14,0.7,0.37785714285714295,0.38,0.01625686668105864,0.9630649733035027
other_speaker_present,max,0,0.0,,,,
other_speaker_present,top2mean,1,0.05,0.62,0.62,0.0,0.9743589743589745
other_speaker_present,top3mean,4,0.2,0.52,0.515,0.014142135623730963,0.9699962377286022
other_speaker_present,p75,0,0.0,,,,
other_speaker_present,p90,1,0.05,0.66,0.66,0.0,0.953020134228188
music_present,mean,5,0.25,0.29,0.29,0.0,0.9697505769933373
music_present,max,0,0.0,,,,
music_present,top2mean,2,0.1,0.63,0.63,0.028284271247461926,0.966335169366995
music_present,top3mean,5,0.25,0.45999999999999996,0.47,0.062449979983983994,0.9669469057079203
music_present,p75,8,0.4,0.49124999999999996,0.485,0.06266407036161721,0.9701629111203084
music_present,p90,0,0.0,,,,
audience_reaction_present,mean,5,0.25,0.39,0.43,0.08366600265340757,0.520969243884845
audience_reaction_present,max,8,0.4,0.70375,0.65,0.09590732133530935,0.45171626984126984
audience_reaction_present,top2mean,0,0.0,,,,
audience_reaction_present,top3mean,3,0.15,0.39333333333333337,0.4,0.011547005383792526,0.4888888888888889
audience_reaction_present,p75,0,0.0,,,,
audience_reaction_present,p90,4,0.2,0.595,0.6,0.010000000000000009,0.5318265993265994
silence_present,mean,1,0.05,0.23,0.23,0.0,0.5333333333333333
silence_present,max,0,0.0,,,,
silence_present,top2mean,0,0.0,,,,
silence_present,top3mean,6,0.3,0.44333333333333336,0.5,0.08778762251403478,0.42023809523809524
silence_present,p75,13,0.65,0.3761538461538461,0.39,0.029871519752227092,0.5353167406275289
silence_present,p90,0,0.0,,,,
