Version,Label,Final aggregation,Final threshold,Selection count,Selection fraction,Stability,Method counts
LATS-v1,Brene_Brown,top3mean,0.5,8/20,0.4,Low,"{""max"": 8, ""mean"": 2, ""top2mean"": 2, ""top3mean"": 8}"
LATS-v1,Eckhart_Tolle,top2mean,0.5,19/20,0.95,High,"{""mean"": 1, ""top2mean"": 19}"
LATS-v1,Eric_Thomas,mean,0.53,10/20,0.5,Moderate,"{""mean"": 10, ""top2mean"": 4, ""top3mean"": 6}"
LATS-v1,Gary_Vee,top3mean,0.5,11/20,0.55,Moderate,"{""mean"": 3, ""top2mean"": 6, ""top3mean"": 11}"
LATS-v1,Jay_Shetty,mean,0.8,14/20,0.7,Moderate,"{""mean"": 14, ""top3mean"": 6}"
LATS-v1,Nick_Vujicic,mean,0.43,10/20,0.5,Moderate,"{""mean"": 10, ""top3mean"": 10}"
LATS-v1,other_speaker_present,top3mean,0.76,10/20,0.5,Moderate,"{""mean"": 6, ""top2mean"": 4, ""top3mean"": 10}"
LATS-v1,music_present,mean,0.49,14/20,0.7,Moderate,"{""max"": 2, ""mean"": 14, ""top2mean"": 3, ""top3mean"": 1}"
LATS-v1,audience_reaction_present,max,0.68,11/20,0.55,Moderate,"{""max"": 11, ""mean"": 3, ""top2mean"": 3, ""top3mean"": 3}"
LATS-v1,silence_present,top2mean,0.38,15/20,0.75,High,"{""max"": 2, ""top2mean"": 15, ""top3mean"": 3}"
LATS-v2,Brene_Brown,top3mean,0.5,11/20,0.55,Moderate,"{""max"": 2, ""median"": 2, ""noisy_or"": 5, ""top3mean"": 11}"
LATS-v2,Eckhart_Tolle,top2mean,0.5,20/20,1.0,High,"{""top2mean"": 20}"
LATS-v2,Eric_Thomas,mean,0.54,8/20,0.4,Low,"{""mean"": 8, ""median"": 1, ""p75"": 5, ""top2mean"": 1, ""top3mean"": 5}"
LATS-v2,Gary_Vee,top3mean,0.5,9/20,0.45,Low,"{""mean"": 1, ""median"": 7, ""p75"": 2, ""top2mean"": 1, ""top3mean"": 9}"
LATS-v2,Jay_Shetty,mean,0.82,11/20,0.55,Moderate,"{""mean"": 11, ""p75"": 3, ""top3mean"": 6}"
LATS-v2,Nick_Vujicic,mean,0.43,11/20,0.55,Moderate,"{""mean"": 11, ""p75"": 2, ""top3mean"": 7}"
LATS-v2,other_speaker_present,top3mean,0.76,6/20,0.3,Low,"{""mean"": 5, ""p75"": 4, ""p90"": 1, ""top2mean"": 2, ""top3mean"": 6, ""top4mean"": 2}"
LATS-v2,music_present,mean,0.49,12/20,0.6,Moderate,"{""max"": 2, ""mean"": 12, ""p75"": 1, ""p90"": 1, ""top2mean"": 1, ""top3mean"": 1, ""top4mean"": 2}"
LATS-v2,audience_reaction_present,max,0.68,9/20,0.45,Low,"{""max"": 9, ""mean"": 3, ""p90"": 3, ""top2mean"": 3, ""top3mean"": 2}"
LATS-v2,silence_present,p75,0.34,10/20,0.5,Moderate,"{""median"": 1, ""p75"": 10, ""p90"": 5, ""top2mean"": 2, ""top3mean"": 2}"
