Version,Label,Final aggregation,Final threshold,Selection count,Selection fraction,Stability,Method counts
LATS-v1,Brene_Brown,top3mean,0.5,8/20,0.4,Low,"{""max"": 8, ""mean"": 2, ""top2mean"": 2, ""top3mean"": 8}"
LATS-v1,Eckhart_Tolle,top2mean,0.5,19/20,0.95,High,"{""mean"": 1, ""top2mean"": 19}"
LATS-v1,Eric_Thomas,mean,0.53,10/20,0.5,Moderate,"{""mean"": 10, ""top2mean"": 4, ""top3mean"": 6}"
LATS-v1,Gary_Vee,top3mean,0.5,11/20,0.55,Moderate,"{""mean"": 3, ""top2mean"": 6, ""top3mean"": 11}"
LATS-v1,Jay_Shetty,mean,0.8,14/20,0.7,Moderate,"{""mean"": 14, ""top3mean"": 6}"
LATS-v1,Nick_Vujicic,mean,0.43,10/20,0.5,Moderate,"{""mean"": 10, ""top3mean"": 10}"
LATS-v1,other_speaker_present,top3mean,0.76,10/20,0.5,Moderate,"{""mean"": 6, ""top2mean"": 4, ""top3mean"": 10}"
LATS-v1,music_present,mean,0.49,14/20,0.7,Moderate,"{""max"": 2, ""mean"": 14, ""top2mean"": 3, ""top3mean"": 1}"
LATS-v1,audience_reaction_present,max,0.68,11/20,0.55,Moderate,"{""max"": 11, ""mean"": 3, ""top2mean"": 3, ""top3mean"": 3}"
LATS-v1,silence_present,top2mean,0.38,15/20,0.75,High,"{""max"": 2, ""top2mean"": 15, ""top3mean"": 3}"
