label,aggregation,selection_count,selection_fraction,threshold_mean_when_selected,threshold_median_when_selected,threshold_std_when_selected
Brene_Brown,mean,0,0.0,,,
Brene_Brown,max,2,0.1,0.94,0.94,0.0
Brene_Brown,top2mean,0,0.0,,,
Brene_Brown,top3mean,11,0.55,0.5,0.5,0.0
Brene_Brown,top4mean,0,0.0,,,
Brene_Brown,top5mean,0,0.0,,,
Brene_Brown,median,2,0.1,0.16,0.16,0.0
Brene_Brown,p75,0,0.0,,,
Brene_Brown,p90,0,0.0,,,
Brene_Brown,noisy_or,5,0.25,0.9399999999999998,0.94,1.2412670766236366e-16
Eckhart_Tolle,mean,0,0.0,,,
Eckhart_Tolle,max,0,0.0,,,
Eckhart_Tolle,top2mean,20,1.0,0.5,0.5,0.0
Eckhart_Tolle,top3mean,0,0.0,,,
Eckhart_Tolle,top4mean,0,0.0,,,
Eckhart_Tolle,top5mean,0,0.0,,,
Eckhart_Tolle,median,0,0.0,,,
Eckhart_Tolle,p75,0,0.0,,,
Eckhart_Tolle,p90,0,0.0,,,
Eckhart_Tolle,noisy_or,0,0.0,,,
Eric_Thomas,mean,8,0.4,0.5262500000000001,0.54,0.02263846284534356
Eric_Thomas,max,0,0.0,,,
Eric_Thomas,top2mean,1,0.05,0.91,0.91,0.0
Eric_Thomas,top3mean,5,0.25,0.7680000000000001,0.78,0.016431676725154998
Eric_Thomas,top4mean,0,0.0,,,
Eric_Thomas,top5mean,0,0.0,,,
Eric_Thomas,median,1,0.05,0.3,0.3,0.0
Eric_Thomas,p75,5,0.25,0.8720000000000001,0.87,0.004472135954999583
Eric_Thomas,p90,0,0.0,,,
Eric_Thomas,noisy_or,0,0.0,,,
Gary_Vee,mean,1,0.05,0.5,0.5,0.0
Gary_Vee,max,0,0.0,,,
Gary_Vee,top2mean,1,0.05,0.5,0.5,0.0
Gary_Vee,top3mean,9,0.45,0.5111111111111111,0.5,0.02204792759220494
Gary_Vee,top4mean,0,0.0,,,
Gary_Vee,top5mean,0,0.0,,,
Gary_Vee,median,7,0.35,0.3957142857142858,0.37,0.043915503282684
Gary_Vee,p75,2,0.1,0.5,0.5,0.0
Gary_Vee,p90,0,0.0,,,
Gary_Vee,noisy_or,0,0.0,,,
Jay_Shetty,mean,11,0.55,0.7672727272727272,0.82,0.14332417165927797
Jay_Shetty,max,0,0.0,,,
Jay_Shetty,top2mean,0,0.0,,,
Jay_Shetty,top3mean,6,0.3,0.9066666666666667,0.9,0.01632993161855449
Jay_Shetty,top4mean,0,0.0,,,
Jay_Shetty,top5mean,0,0.0,,,
Jay_Shetty,median,0,0.0,,,
Jay_Shetty,p75,3,0.15,0.9499999999999998,0.95,1.3597399555105182e-16
Jay_Shetty,p90,0,0.0,,,
Jay_Shetty,noisy_or,0,0.0,,,
Nick_Vujicic,mean,11,0.55,0.42999999999999994,0.43,5.822058658345462e-17
Nick_Vujicic,max,0,0.0,,,
Nick_Vujicic,top2mean,0,0.0,,,
Nick_Vujicic,top3mean,7,0.35,0.6114285714285714,0.63,0.04913538149119954
Nick_Vujicic,top4mean,0,0.0,,,
Nick_Vujicic,top5mean,0,0.0,,,
Nick_Vujicic,median,0,0.0,,,
Nick_Vujicic,p75,2,0.1,0.57,0.57,0.0
Nick_Vujicic,p90,0,0.0,,,
Nick_Vujicic,noisy_or,0,0.0,,,
other_speaker_present,mean,5,0.25,0.5900000000000001,0.6,0.02915475947422649
other_speaker_present,max,0,0.0,,,
other_speaker_present,top2mean,2,0.1,0.82,0.82,0.0
other_speaker_present,top3mean,6,0.3,0.7416666666666667,0.76,0.04996665554814196
other_speaker_present,top4mean,2,0.1,0.72,0.72,0.028284271247461926
other_speaker_present,top5mean,0,0.0,,,
other_speaker_present,median,0,0.0,,,
other_speaker_present,p75,4,0.2,0.7175,0.745,0.058523499553598125
other_speaker_present,p90,1,0.05,0.86,0.86,0.0
other_speaker_present,noisy_or,0,0.0,,,
music_present,mean,12,0.6,0.49416666666666664,0.49,0.02874917653629667
music_present,max,2,0.1,0.915,0.915,0.04949747468305829
music_present,top2mean,1,0.05,0.85,0.85,0.0
music_present,top3mean,1,0.05,0.71,0.71,0.0
music_present,top4mean,2,0.1,0.63,0.63,0.0
music_present,top5mean,0,0.0,,,
music_present,median,0,0.0,,,
music_present,p75,1,0.05,0.71,0.71,0.0
music_present,p90,1,0.05,0.86,0.86,0.0
music_present,noisy_or,0,0.0,,,
audience_reaction_present,mean,3,0.15,0.21666666666666667,0.23,0.023094010767585032
audience_reaction_present,max,9,0.45,0.6922222222222222,0.68,0.07137537701787952
audience_reaction_present,top2mean,3,0.15,0.5466666666666667,0.54,0.05033222956847165
audience_reaction_present,top3mean,2,0.1,0.41000000000000003,0.41000000000000003,0.1555634918610405
audience_reaction_present,top4mean,0,0.0,,,
audience_reaction_present,top5mean,0,0.0,,,
audience_reaction_present,median,0,0.0,,,
audience_reaction_present,p75,0,0.0,,,
audience_reaction_present,p90,3,0.15,0.62,0.62,0.0
audience_reaction_present,noisy_or,0,0.0,,,
silence_present,mean,0,0.0,,,
silence_present,max,0,0.0,,,
silence_present,top2mean,2,0.1,0.5,0.5,0.0
silence_present,top3mean,2,0.1,0.5,0.5,0.0
silence_present,top4mean,0,0.0,,,
silence_present,top5mean,0,0.0,,,
silence_present,median,1,0.05,0.26,0.26,0.0
silence_present,p75,10,0.5,0.34199999999999997,0.34,0.06545566777937907
silence_present,p90,5,0.25,0.614,0.67,0.12521980673998823
silence_present,noisy_or,0,0.0,,,
