seed,label,aggregation,threshold
0,Brene_Brown,max,0.94
0,Eckhart_Tolle,top2mean,0.5
0,Eric_Thomas,top3mean,0.78
0,Gary_Vee,top3mean,0.5
0,Jay_Shetty,p75,0.95
0,Nick_Vujicic,top3mean,0.63
0,other_speaker_present,p75,0.75
0,music_present,mean,0.49
0,audience_reaction_present,max,0.62
0,silence_present,p90,0.67
1,Brene_Brown,noisy_or,0.94
1,Eckhart_Tolle,top2mean,0.5
1,Eric_Thomas,mean,0.54
1,Gary_Vee,top3mean,0.55
1,Jay_Shetty,top3mean,0.9
1,Nick_Vujicic,p75,0.57
1,other_speaker_present,top3mean,0.77
1,music_present,mean,0.57
1,audience_reaction_present,top3mean,0.52
1,silence_present,p90,0.39
2,Brene_Brown,top3mean,0.5
2,Eckhart_Tolle,top2mean,0.5
2,Eric_Thomas,median,0.3
2,Gary_Vee,median,0.46
2,Jay_Shetty,mean,0.8
2,Nick_Vujicic,top3mean,0.63
2,other_speaker_present,mean,0.57
2,music_present,mean,0.49
2,audience_reaction_present,mean,0.19
2,silence_present,top3mean,0.5
3,Brene_Brown,noisy_or,0.94
3,Eckhart_Tolle,top2mean,0.5
3,Eric_Thomas,top3mean,0.75
3,Gary_Vee,top3mean,0.5
3,Jay_Shetty,mean,0.8
3,Nick_Vujicic,mean,0.43
3,other_speaker_present,top2mean,0.82
3,music_present,p90,0.86
3,audience_reaction_present,max,0.86
3,silence_present,p75,0.35
4,Brene_Brown,top3mean,0.5
4,Eckhart_Tolle,top2mean,0.5
4,Eric_Thomas,top3mean,0.75
4,Gary_Vee,median,0.37
4,Jay_Shetty,mean,0.89
4,Nick_Vujicic,mean,0.43
4,other_speaker_present,top2mean,0.82
4,music_present,max,0.88
4,audience_reaction_present,top2mean,0.5
4,silence_present,p90,0.67
5,Brene_Brown,median,0.16
5,Eckhart_Tolle,top2mean,0.5
5,Eric_Thomas,mean,0.49
5,Gary_Vee,median,0.46
5,Jay_Shetty,top3mean,0.94
5,Nick_Vujicic,top3mean,0.63
5,other_speaker_present,top4mean,0.7
5,music_present,p75,0.71
5,audience_reaction_present,max,0.68
5,silence_present,p75,0.34
6,Brene_Brown,top3mean,0.5
6,Eckhart_Tolle,top2mean,0.5
6,Eric_Thomas,p75,0.87
6,Gary_Vee,top3mean,0.5
6,Jay_Shetty,top3mean,0.9
