label,final_aggregation,final_threshold,selection_count,selection_fraction,threshold_mean_selected_method,threshold_median_selected_method,threshold_std_selected_method,method_counts_json
Brene_Brown,top3mean,0.5,11,0.55,0.5,0.5,0.0,"{""max"": 2, ""median"": 2, ""noisy_or"": 5, ""top3mean"": 11}"
Eckhart_Tolle,top2mean,0.5,20,1.0,0.5,0.5,0.0,"{""top2mean"": 20}"
Eric_Thomas,mean,0.54,8,0.4,0.5262500000000001,0.54,0.02263846284534356,"{""mean"": 8, ""median"": 1, ""p75"": 5, ""top2mean"": 1, ""top3mean"": 5}"
Gary_Vee,top3mean,0.5,9,0.45,0.5111111111111111,0.5,0.02204792759220494,"{""mean"": 1, ""median"": 7, ""p75"": 2, ""top2mean"": 1, ""top3mean"": 9}"
Jay_Shetty,mean,0.82,11,0.55,0.7672727272727272,0.82,0.14332417165927797,"{""mean"": 11, ""p75"": 3, ""top3mean"": 6}"
Nick_Vujicic,mean,0.43,11,0.55,0.42999999999999994,0.43,5.822058658345462e-17,"{""mean"": 11, ""p75"": 2, ""top3mean"": 7}"
other_speaker_present,top3mean,0.76,6,0.3,0.7416666666666667,0.76,0.04996665554814196,"{""mean"": 5, ""p75"": 4, ""p90"": 1, ""top2mean"": 2, ""top3mean"": 6, ""top4mean"": 2}"
music_present,mean,0.49,12,0.6,0.49416666666666664,0.49,0.02874917653629667,"{""max"": 2, ""mean"": 12, ""p75"": 1, ""p90"": 1, ""top2mean"": 1, ""top3mean"": 1, ""top4mean"": 2}"
audience_reaction_present,max,0.68,9,0.45,0.6922222222222222,0.68,0.07137537701787952,"{""max"": 9, ""mean"": 3, ""p90"": 3, ""top2mean"": 3, ""top3mean"": 2}"
silence_present,p75,0.34,10,0.5,0.34199999999999997,0.34,0.06545566777937907,"{""median"": 1, ""p75"": 10, ""p90"": 5, ""top2mean"": 2, ""top3mean"": 2}"
