label,threshold_mean,threshold_std,threshold_min,threshold_max,support_mean,fallback_count
Brene_Brown,0.5974999999999999,0.22738502010559325,0.35,0.95,37.45,0
Eckhart_Tolle,0.5,0.0,0.5,0.5,42.1,0
Eric_Thomas,0.6175,0.17112245538456403,0.45,0.9,33.85,0
Gary_Vee,0.43,0.1151657843924872,0.25,0.55,33.35,0
Jay_Shetty,0.78,0.1389812558357572,0.55,0.9,45.15,0
Nick_Vujicic,0.5225,0.14461837256797808,0.4,0.85,23.85,0
audience_reaction_present,0.5700000000000001,0.19493588689617924,0.2,0.9,13.15,0
music_present,0.6174999999999999,0.18011326845539227,0.45,0.95,171.4,0
other_speaker_present,0.63,0.10563093645728087,0.55,0.9,228.6,0
silence_present,0.40499999999999997,0.12128695855610148,0.3,0.65,6.65,0
